uName;uCode;Geocódigo;UF;Região;Cluster;IPA;IFGF;IFDM;PIBA;PCR;IAGRD;GRLP;IGOUARDEI;ARRDEI;SAADEI;PCDEI;CLZEOS;GMA;GH;GT;ES10H;NIAPMSB;PDLP;JEMC19I;RMNAMP;NDISI;FM;IC;NFASB;IMAP;DAR;DPAU;P2020
Alta Floresta D'Oeste;A.F.;1100015;RO;N;1;358,21;0,38;0,49;6,46;0,30;0,13;1,00;0,00;0,00;0,00;0,00;2,00;0,60;0,67;0,40;1,02;1,00;7,95;0,80;7,71;0,97;1,25;403,50;84,28;1,00;0;1964,84;0,0168849720000
Ariquemes;AR.;1100023;RO;N;1;247,29;0,60;0,68;33,26;0,30;0,65;0,50;1,00;0,50;0,80;0,00;1,00;0,60;0,33;0,40;1,04;1,00;10,47;0,82;5,78;0,79;1,00;84,74;37,74;0,00;0;2298,05;0,0444337860000
Cacoal;CO.;1100049;RO;N;1;299,13;0,68;0,66;28,04;0,30;0,39;1,00;0,50;0,50;0,80;0,00;1,00;0,60;0,50;0,60;2,55;0,00;10,87;0,82;6,33;0,53;0,00;151,74;22,45;1,00;0;2104,01;0,0451251280000
Cerejeiras;CER.;1100056;RO;N;1;465,29;0,64;0,56;6,31;0,30;0,22;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,33;0,80;1,27;0,00;12,56;0,84;5,63;0,89;1,25;306,29;33,75;0,00;0;2225,15;0,0169126260000
Colorado do Oeste;C.O.;1100064;RO;N;1;256,58;0,42;0,48;9,18;0,30;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,20;0,17;0,20;0,88;0,00;10,79;0,83;5,87;0,95;1,25;82,46;69,53;1,00;0;1473,25;0,0136180200000
Costa Marques;C.M.;1100080;RO;N;1;175,32;0,26;0,44;6,30;0,30;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,20;0,17;0,20;0,50;0,00;8,60;0,92;5,95;0,96;1,25;385,87;94,29;1,00;0;1281,54;0,0179968420000
Espigão D'Oeste;ES.;1100098;RO;N;1;172,52;0,59;0,56;9,80;0,30;0,13;1,00;0,00;0,00;0,00;0,00;1,00;0,60;0,17;0,60;1,00;0,00;9,47;0,90;5,96;0,89;0,00;266,15;70,30;1,00;0;1861,79;0,0371656290000
Guajará-Mirim;G.M.;1100106;RO;N;1;214,08;0,35;0,50;16,28;0,30;0,52;0,00;0,00;0,00;0,00;1,00;1,00;0,60;0,17;0,40;0,81;0,00;11,44;0,93;6,84;0,70;1,25;1349,71;51,55;0,00;0;1985,73;0,0361720020000
Jaru;JA.;1100114;RO;N;1;206,93;0,51;0,59;15,84;0,30;0,22;1,00;0,50;0,50;0,80;0,00;1,00;0,60;0,33;0,40;1,78;0,43;7,96;0,85;5,43;0,91;1,25;150,96;82,36;1,00;0;2179,89;0,0336078360000
Ji-Paraná;JI.;1100122;RO;N;1;299,16;0,72;0,77;43,37;0,30;0,17;1,00;0,50;0,50;0,00;1,00;2,00;0,60;0,17;0,40;2,09;1,00;11,73;0,84;5,43;0,72;0,25;411,79;78,72;1,00;0;2320,89;0,0407415390000
